"MEASURE","Measure","ASGS_2011","Region","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"1","Births","0","Australia","A","Annual","2000","2000","NUM","Number","0","Units",,,249636,,
"1","Births","0","Australia","A","Annual","2001","2001","NUM","Number","0","Units",,,246394,,
"1","Births","0","Australia","A","Annual","2002","2002","NUM","Number","0","Units",,,250988,,
"1","Births","0","Australia","A","Annual","2003","2003","NUM","Number","0","Units",,,251161,,
"1","Births","0","Australia","A","Annual","2004","2004","NUM","Number","0","Units",,,254246,,
"1","Births","0","Australia","A","Annual","2005","2005","NUM","Number","0","Units",,,264493,,
"1","Births","0","Australia","A","Annual","2006","2006","NUM","Number","0","Units",,,270849,,
"1","Births","0","Australia","A","Annual","2007","2007","NUM","Number","0","Units",,,292152,,
"1","Births","0","Australia","A","Annual","2008","2008","NUM","Number","0","Units",,,302272,,
"1","Births","0","Australia","A","Annual","2009","2009","NUM","Number","0","Units",,,301253,,
"1","Births","0","Australia","A","Annual","2010","2010","NUM","Number","0","Units",,,303318,,
"1","Births","0","Australia","A","Annual","2011","2011","NUM","Number","0","Units",,,301617,,
"2","Population","0","Australia","A","Annual","2000","2000","PER","Persons","0","Units",,,19028802,,
"2","Population","0","Australia","A","Annual","2001","2001","PER","Persons","0","Units",,,19274701,,
"2","Population","0","Australia","A","Annual","2002","2002","PER","Persons","0","Units",,,19495210,,
"2","Population","0","Australia","A","Annual","2003","2003","PER","Persons","0","Units",,,19720737,,
"2","Population","0","Australia","A","Annual","2004","2004","PER","Persons","0","Units",,,19932722,,
"2","Population","0","Australia","A","Annual","2005","2005","PER","Persons","0","Units",,,20176844,,
"2","Population","0","Australia","A","Annual","2006","2006","PER","Persons","0","Units",,,20450966,,
"2","Population","0","Australia","A","Annual","2007","2007","PER","Persons","0","Units",,,20827622,,
"2","Population","0","Australia","A","Annual","2008","2008","PER","Persons","0","Units",,,21249199,,
"2","Population","0","Australia","A","Annual","2009","2009","PER","Persons","0","Units",,,21691653,,
"2","Population","0","Australia","A","Annual","2010","2010","PER","Persons","0","Units",,,22031750,,
"2","Population","0","Australia","A","Annual","2011","2011","PER","Persons","0","Units",,,22340024,,
"3","Crude birth rate","0","Australia","A","Annual","2000","2000","RATE","Rate","0","Units",,,13.1,,
"3","Crude birth rate","0","Australia","A","Annual","2001","2001","RATE","Rate","0","Units",,,12.8,,
"3","Crude birth rate","0","Australia","A","Annual","2002","2002","RATE","Rate","0","Units",,,12.9,,
"3","Crude birth rate","0","Australia","A","Annual","2003","2003","RATE","Rate","0","Units",,,12.7,,
"3","Crude birth rate","0","Australia","A","Annual","2004","2004","RATE","Rate","0","Units",,,12.8,,
"3","Crude birth rate","0","Australia","A","Annual","2005","2005","RATE","Rate","0","Units",,,13.1,,
"3","Crude birth rate","0","Australia","A","Annual","2006","2006","RATE","Rate","0","Units",,,13.2,,
"3","Crude birth rate","0","Australia","A","Annual","2007","2007","RATE","Rate","0","Units",,,14,,
"3","Crude birth rate","0","Australia","A","Annual","2008","2008","RATE","Rate","0","Units",,,14.2,,
"3","Crude birth rate","0","Australia","A","Annual","2009","2009","RATE","Rate","0","Units",,,13.9,,
"3","Crude birth rate","0","Australia","A","Annual","2010","2010","RATE","Rate","0","Units",,,13.8,,
"3","Crude birth rate","0","Australia","A","Annual","2011","2011","RATE","Rate","0","Units",,,13.5,,
