"MEASURE","Measure","SEX_ABS","Sex","ASGS_2011","States and Territories","FREQUENCY","Frequency","TIME","Time","Value","Flag Codes","Flags"
"4","Deaths","3","Persons","0","Australia","A","Annual","2000","2000",128291,,
"4","Deaths","3","Persons","0","Australia","A","Annual","2001","2001",128544,,
"4","Deaths","3","Persons","0","Australia","A","Annual","2002","2002",133707,,
"4","Deaths","3","Persons","0","Australia","A","Annual","2003","2003",132292,,
"4","Deaths","3","Persons","0","Australia","A","Annual","2004","2004",132508,,
"4","Deaths","3","Persons","0","Australia","A","Annual","2005","2005",130714,,
"4","Deaths","3","Persons","0","Australia","A","Annual","2006","2006",133739,,
"4","Deaths","3","Persons","0","Australia","A","Annual","2007","2007",137854,,
"4","Deaths","3","Persons","0","Australia","A","Annual","2008","2008",143946,,
"4","Deaths","3","Persons","0","Australia","A","Annual","2009","2009",140760,,
"4","Deaths","3","Persons","0","Australia","A","Annual","2010","2010",143473,,
"4","Deaths","3","Persons","0","Australia","A","Annual","2011","2011",146932,,
"11","Standardised death rates","3","Persons","0","Australia","A","Annual","2000","2000",6.9,,
"11","Standardised death rates","3","Persons","0","Australia","A","Annual","2001","2001",6.7,,
"11","Standardised death rates","3","Persons","0","Australia","A","Annual","2002","2002",6.8,,
"11","Standardised death rates","3","Persons","0","Australia","A","Annual","2003","2003",6.5,,
"11","Standardised death rates","3","Persons","0","Australia","A","Annual","2004","2004",6.4,,
"11","Standardised death rates","3","Persons","0","Australia","A","Annual","2005","2005",6.1,,
"11","Standardised death rates","3","Persons","0","Australia","A","Annual","2006","2006",6.1,,
"11","Standardised death rates","3","Persons","0","Australia","A","Annual","2007","2007",6,,
"11","Standardised death rates","3","Persons","0","Australia","A","Annual","2008","2008",6.1,,
"11","Standardised death rates","3","Persons","0","Australia","A","Annual","2009","2009",5.8,,
"11","Standardised death rates","3","Persons","0","Australia","A","Annual","2010","2010",5.7,,
"11","Standardised death rates","3","Persons","0","Australia","A","Annual","2011","2011",5.7,,
"1","Population","3","Persons","0","Australia","A","Annual","2000","2000",19028802,,
"1","Population","3","Persons","0","Australia","A","Annual","2001","2001",19274701,,
"1","Population","3","Persons","0","Australia","A","Annual","2002","2002",19495210,,
"1","Population","3","Persons","0","Australia","A","Annual","2003","2003",19720737,,
"1","Population","3","Persons","0","Australia","A","Annual","2004","2004",19932722,,
"1","Population","3","Persons","0","Australia","A","Annual","2005","2005",20176844,,
"1","Population","3","Persons","0","Australia","A","Annual","2006","2006",20450966,,
"1","Population","3","Persons","0","Australia","A","Annual","2007","2007",20827622,,
"1","Population","3","Persons","0","Australia","A","Annual","2008","2008",21249199,,
"1","Population","3","Persons","0","Australia","A","Annual","2009","2009",21691653,,
"1","Population","3","Persons","0","Australia","A","Annual","2010","2010",22031750,,
"1","Population","3","Persons","0","Australia","A","Annual","2011","2011",22340024,,
"5","Crude death rates","3","Persons","0","Australia","A","Annual","2000","2000",6.7,,
"5","Crude death rates","3","Persons","0","Australia","A","Annual","2001","2001",6.7,,
"5","Crude death rates","3","Persons","0","Australia","A","Annual","2002","2002",6.9,,
"5","Crude death rates","3","Persons","0","Australia","A","Annual","2003","2003",6.7,,
"5","Crude death rates","3","Persons","0","Australia","A","Annual","2004","2004",6.6,,
"5","Crude death rates","3","Persons","0","Australia","A","Annual","2005","2005",6.5,,
"5","Crude death rates","3","Persons","0","Australia","A","Annual","2006","2006",6.5,,
"5","Crude death rates","3","Persons","0","Australia","A","Annual","2007","2007",6.6,,
"5","Crude death rates","3","Persons","0","Australia","A","Annual","2008","2008",6.8,,
"5","Crude death rates","3","Persons","0","Australia","A","Annual","2009","2009",6.5,,
"5","Crude death rates","3","Persons","0","Australia","A","Annual","2010","2010",6.5,,
"5","Crude death rates","3","Persons","0","Australia","A","Annual","2011","2011",6.6,,
