Measure,Time,Value
Deaths,2000,128952
Deaths,2001,128861
Deaths,2002,133227
Deaths,2003,131993
Deaths,2004,132434
Deaths,2005,131518
Deaths,2006,134473
Deaths,2007,139709
Deaths,2008,142509
Deaths,2009,141305
Deaths,2010,142777
Deaths,2011,146777
Deaths,2012,148945
Deaths,2013,148261
Deaths,2014,153943
Deaths,2015,157271
Deaths,2016,158478
Deaths,2017,163016
Deaths,2018,147358
Population,2000,19028802
Population,2001,19274701
Population,2002,19495210
Population,2003,19720737
Population,2004,19932722
Population,2005,20176844
Population,2006,20450966
Population,2007,20827622
Population,2008,21249199
Population,2009,21691653
Population,2010,22031750
Population,2011,22340024
Population,2012,22733465
Population,2013,23128129
Population,2014,23475686
Population,2015,23815995
Population,2016,24190907
Population,2017,24597528
Population,2018,24992369
Births,2000,249636
Births,2001,246394
Births,2002,250988
Births,2003,251161
Births,2004,254246
Births,2005,264493
Births,2006,270849
Births,2007,292152
Births,2008,302272
Births,2009,301253
Births,2010,303318
Births,2011,301617
Births,2012,309582
Births,2013,308065
Births,2014,299697
Births,2015,305377
Births,2016,311104
Births,2017,309142
Births,2018,315147
Migration,2004,138800
Migration,2005,157180
Migration,2006,197490
Migration,2007,244030
Migration,2008,315690
Migration,2009,246900
Migration,2010,172040
Migration,2011,206240
Migration,2012,240250
Migration,2013,208380
Migration,2014,182350
Migration,2015,186730
Migration,2016,243830
Migration,2017,241660
Migration,2018,250820
